prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-BIA,SLOW,4.A.Red,2026-04-07,11,1535.0,1535.0,0.085,0.053
CAL.R-BIA,SLOW,4.A.Red,2026-06-30,11,1534.0,1534.0,0.091,0.055
CAL.R-BIA,SLOW,4.B.Blue,2026-04-07,11,676.0,677.0,0.06,0.054
CAL.R-BIA,SLOW,4.B.Blue,2026-06-30,11,676.0,676.0,0.06,0.054
CAL.R-BIA,SLOW,4.B.Green,2026-04-07,11,667.0,667.0,0.206,0.064
CAL.R-BIA,SLOW,4.B.Green,2026-06-30,11,667.0,667.0,0.207,0.064
CAL.R-BIA,SLOW,4.B.Red,2026-04-07,11,1717.0,1718.0,0.088,0.057
CAL.R-BIA,SLOW,4.B.Red,2026-06-30,11,1716.0,1716.0,0.095,0.057
CAL.R-DRK,SLOW,1.A.Green,2026-04-07,3,690.0,695.0,2.12,0.098
CAL.R-DRK,SLOW,1.A.Green,2026-06-30,3,691.0,695.0,2.12,0.125
CAL.R-DRK,SLOW,1.A.Red,2026-04-07,3,1694.0,1701.0,3.098,0.466
CAL.R-DRK,SLOW,1.A.Red,2026-06-30,3,1693.0,1701.0,3.234,0.394
CAL.R-DRK,SLOW,1.B.Blue,2026-04-07,3,707.0,707.0,0.115,0.201
CAL.R-DRK,SLOW,1.B.Blue,2026-06-30,3,710.0,710.0,0.171,0.335
CAL.R-DRK,SLOW,1.B.Green,2026-04-07,3,664.0,664.0,0.243,0.11
CAL.R-DRK,SLOW,1.B.Green,2026-06-30,3,664.0,664.0,0.216,0.126
CAL.R-DRK,SLOW,1.B.Red,2026-04-07,3,1676.0,1677.0,0.276,0.085
CAL.R-DRK,SLOW,1.B.Red,2026-06-30,3,1677.0,1678.0,0.285,0.089
CAL.R-DRK,SLOW,2.A.Blue,2026-04-07,3,551.0,551.0,0.069,0.078
CAL.R-DRK,SLOW,2.A.Blue,2026-06-30,3,550.0,550.0,0.067,0.137
CAL.R-DRK,SLOW,2.A.Green,2026-04-07,3,642.0,643.0,0.372,0.273
CAL.R-DRK,SLOW,2.A.Green,2026-06-30,3,642.0,643.0,0.354,0.275
CAL.R-DRK,SLOW,2.A.Red,2026-04-07,3,1586.0,1586.0,0.095,0.1
CAL.R-DRK,SLOW,2.A.Red,2026-06-30,3,1587.0,1587.0,0.088,0.106
